ID,QUANTITY
39147251-af51-4351-8a0f-7d566daffaf9,9668891247.579
39147268-5c2f-4687-a97d-3890c1659302,3696611661.004
3914727a-9878-4077-a2f7-ad3319673859,9286426063.461
39147282-3c2c-4ee7-9e36-76a84be4fd75,2690588858.872
3914729c-2917-4edb-9e96-c2c5272a9f24,3160403847.482
3914730e-0e3c-4194-82d8-8738085666a5,3540804867.379
39147319-0c4c-43f0-9556-75b5f8b0dfa2,6957898350.473
39147329-1bfb-445b-8ce6-27a53d735a6e,6953974896.541
3914733f-714b-4605-bef9-328a59390c04,8448162317.672
3914734e-9fd7-40d0-804f-e34396de3aca,3768320205.443
